ResponseId,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_46,item_47,item_48,item_49,item_50,item_51,gender,year_of_study,ethnicity,HM_or_not,stats_mod_num,total_attitude 
R_4Yi7RKUaNR5tCtS,2,2,1,2,5,1,5,5,1,1,1,1,4,1,1,1,1,1,3,3,2,5,1,1,4,1,1,5,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,4,Male,4,Chinese,HM,4,47
R_4R2CLbq0B68h1As,3,1,1,3,1,1,2,4,1,4,1,1,2,1,3,1,1,1,1,1,1,3,1,2,3,4,2,3,2,2,1,1,3,2,1,2,3,1,2,2,1,1,3,3,2,2,3,2,1,1,1,Female,4,Chinese,HM,2,56
R_4dSoxEhBJHIa3U5,3,1,4,2,3,1,2,3,1,3,2,1,2,2,4,4,2,1,3,1,1,4,3,2,3,4,2,3,2,2,1,1,1,1,1,1,3,3,4,2,1,1,3,1,1,1,1,4,3,1,3,Female,4,Chinese,HM,3,56
R_4G1Hd7PLWywgcNj,3,2,2,3,2,2,2,3,1,3,1,3,4,2,3,3,1,1,3,2,4,4,4,2,4,3,2,4,2,2,1,2,2,2,4,2,5,5,3,4,2,2,4,4,5,4,2,2,5,2,5,Female,4,Chinese,HM,3,86
R_4ABDnMRnRltfm2R,3,2,2,3,3,1,2,4,1,5,2,1,2,1,4,2,1,1,2,1,2,3,1,2,3,2,4,2,2,1,1,1,3,4,3,4,4,3,4,2,1,4,4,3,2,3,2,2,3,2,2,Female,4,Chinese,HM,3,73
R_4xFs2O4VQlgkErV,4,2,2,3,4,3,3,4,1,3,3,2,2,2,3,2,1,1,3,2,4,2,3,2,4,2,1,2,1,1,4,2,1,1,1,4,2,2,2,2,1,1,4,4,2,1,1,4,2,1,1,Male,4,Chinese,HM,4,56
R_4oBe1V8GB400Xri,4,4,3,4,3,3,4,4,2,4,2,3,4,3,4,4,5,3,4,4,3,3,4,2,4,3,3,3,2,2,4,3,3,5,2,3,3,5,4,2,1,1,3,3,5,4,3,4,2,2,4,Female,4,Chinese,HM,3,85
R_4PSiOnmOCIgrNMD,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Female,4,Chinese,HM,3,32
R_4fUG5kW78ZbUU4s,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,4,4,1,2,2,2,1,2,1,1,2,3,2,2,3,2,1,2,4,3,2,2,2,5,2,3,3,4,Male,4,Chinese,HM,4,67
R_4KDc7ucrSLI2foG,4,2,3,2,1,2,4,4,1,4,2,3,3,1,4,2,1,2,4,3,1,2,2,2,4,2,2,3,1,1,1,1,2,1,1,2,3,3,3,1,1,2,1,2,2,2,1,4,2,1,2,Female,4,Chinese,HM,4,53
R_4FFi8b64ubZNTVc,5,2,2,5,3,3,3,5,3,4,4,4,3,4,4,4,3,4,4,3,5,5,1,3,3,4,2,3,2,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,Female,4,Chinese,HM,1,104
R_45McnHB2kWn7BuJ,4,3,1,3,2,2,4,4,1,5,4,3,4,2,5,1,2,2,3,3,2,5,1,2,4,2,1,2,2,2,3,1,1,2,1,2,3,2,4,2,1,1,2,3,2,2,2,3,1,2,2,Female,4,Chinese,HM,3,57
